File,chapter,location,tier,weaploc1,weapon1,weaploc2,weapon2,weaploc3,weapon3,weaploc4,weapon4,weaploc5,weapon5,weaploc6,weapon6,class,classtype,outputchapter,weapontype
\zmap\bmap0108\dispos_h.bin,1b,6367,1,6171,IID_STEELLANCE,5999,IID_HANDSPEAR,,,,,,,,,LANCEARMOR,A,1_7,L
\zmap\bmap0108\dispos_h.bin,1b,6419,1,6115,IID_STEELLANCE,,,,,,,,,,,SOLDIER,I,1_7,L
\zmap\bmap0108\dispos_h.bin,1b,6464,1,6252,IID_WIND,5967,IID_ELWIND,,,,,,,,,WINDMAGE,M,1_7,W
\zmap\bmap0109\dispos_h.bin,1b,5392,1,5291,IID_POISONAXE,5325,IID_STEELAXE,5195,IID_HANDAXE,,,,,,,BANDIT,I,1_8,A
\zmap\bmap0109\dispos_h.bin,1b,5450,1,5249,IID_STEELAXE,5272,IID_HANDAXE,,,,,,,,,DRAGONKNIGHT,F,1_8,A
\zmap\bmap0109\dispos_h.bin,1b,5479,1,5137,IID_ELFIRE,,,,,,,,,,,FIREMAGE,M,1_8,F
\zmap\bmap0109\dispos_h.bin,1b,5519,1,5282,IID_LIVE,,,,,,,,,,,PRIEST,H,1_8,H
\zmap\bmap0109\dispos_h.bin,1b,5586,1,5207,IID_HANDSPEAR,5338,IID_STEELLANCE,,,,,,,,,SOLDIER,I,1_8,L
\zmap\bmap0109\dispos_h.bin,1b,5614,1,5148,IID_ELTHUNDER,,,,,,,,,,,THUNDERMAGE,M,1_8,T
\zmap\bmap0109\dispos_h.bin,1b,5646,1,5162,IID_ELWIND,,,,,,,,,,,WINDMAGE,M,1_8,W
\zmap\bmap0110\dispos_h.bin,1b,2665,1,2565,IID_STEELBOW,,,,,,,,,,,ARCHER,I,1_9,B
\zmap\bmap0110\dispos_h.bin,1b,2676,1,2610,IID_STEELSWORD,,,,,,,,,,,BLADE,I,1_9,S
\zmap\bmap0110\dispos_h.bin,1b,2701,1,2552,IID_STEELAXE,2516,IID_HANDAXE,,,,,,,,,FIGHTER,I,1_9,A
\zmap\bmap0110\dispos_h.bin,1b,2742,1,2578,IID_STEELLANCE,2528,IID_HANDSPEAR,,,,,,,,,SOLDIER,I,1_9,L
\zmap\bmap0111\dispos_h.bin,1c,6479,1,6319,IID_STEELBOW,6347,IID_STEELLONGBOW,6153,IID_IRONLONGBOW,,,,,,,ARCHER,I,1_E,B
\zmap\bmap0111\dispos_h.bin,1c,6490,1,6101,IID_HANDAXE,6364,IID_STEELPOLEAXE,,,,,,,,,AXARMOR,A,1_E,A
\zmap\bmap0111\dispos_h.bin,1c,6520,1,6396,IID_STEELSWORD,6194,IID_KILLSWORD,6079,IID_STEELBLADE,6088,IID_WINDSWORD,,,,,BLADE,I,1_E,S
\zmap\bmap0111\dispos_h.bin,1c,6549,1,6291,IID_STEELAXE,6169,IID_HANDAXE,6238,IID_POISONAXE,,,,,,,FIGHTER,I,1_E,A
\zmap\bmap0111\dispos_h.bin,1c,6561,1,6227,IID_METEOR,6043,IID_ELFIRE,,,,,,,,,FIREMAGE,M,1_E,F
\zmap\bmap0111\dispos_h.bin,1c,6602,1,6113,IID_HANDSPEAR,6185,IID_STEELLANCE,6381,IID_STEELSPEAR,,,,,,,LANCEARMOR,A,1_E,L
\zmap\bmap0111\dispos_h.bin,1c,6631,1,6218,IID_LIVE,6252,IID_REBLOW,,,,,,,,,PRIEST,H,1_E,H
\zmap\bmap0111\dispos_h.bin,1c,6684,1,6208,IID_HANDSPEAR,6332,IID_STEELLANCE,6411,IID_STEELSPEAR,,,,,,,SOLDIER,I,1_E,L
\zmap\bmap0111\dispos_h.bin,1c,6696,1,6304,IID_STEELBLADE,6465,IID_WINDSWORD,,,,,,,,,SWORDARMOR,A,1_E,S
\zmap\bmap0111\dispos_h.bin,1c,6737,1,6054,IID_ELTHUNDER,,,,,,,,,,,THUNDERMAGE,M,1_E,T
\zmap\bmap0111\dispos_h.bin,1c,6771,1,6068,IID_ELWIND,,,,,,,,,,,WINDMAGE,M,1_E,W
\zmap\bmap0201\dispos_h.bin,2a,1923,1,1785,IID_HANDAXE,1811,IID_IRONAXE,1823,IID_IRONPOLEAXE,,,,,,,DRAGONKNIGHT,F,2_P,L
\zmap\bmap0202\dispos_h.bin,2a,2305,1,2232,IID_STEELBOW,,,,,,,,,,,ARCHER,I,2_1,B
\zmap\bmap0202\dispos_h.bin,2a,2316,1,2219,IID_STEELAXE,,,,,,,,,,,AXARMOR,A,2_1,A
\zmap\bmap0202\dispos_h.bin,2a,2328,1,2056,IID_STEELAXE,2177,IID_IRONAXE,,,,,,,,,BANDIT,I,2_1,A
\zmap\bmap0202\dispos_h.bin,2a,2339,1,2260,IID_STEELSWORD,2192,IID_POISONSWORD,,,,,,,,,BLADE,I,2_1,S
\zmap\bmap0202\dispos_h.bin,2a,2349,1,2119,IID_HANDAXE,2165,IID_IRONAXE,,,,,,,,,FIGHTER,I,2_1,A
\zmap\bmap0202\dispos_h.bin,2a,2361,1,2097,IID_ELFIRE,,,,,,,,,,,FIREMAGE,M,2_1,F
\zmap\bmap0202\dispos_h.bin,2a,2417,1,2400,IID_HANDSPEAR,,,,,,,,,,,LANCEARMOR,A,2_1,L
\zmap\bmap0202\dispos_h.bin,2a,2432,1,2208,IID_RELIVE,,,,,,,,,,,PRIEST,H,2_1,H
\zmap\bmap0202\dispos_h.bin,2a,2455,1,2131,IID_HANDSPEAR,2245,IID_STEELSPEAR,,,,,,,,,SOLDIER,I,2_1,L
\zmap\bmap0202\dispos_h.bin,2a,2467,1,2108,IID_ELWIND,,,,,,,,,,,WINDSAGE,M,2_1,W
\zmap\bmap0203\dispos_h.bin,2b,4648,1,4561,IID_STEELBOW,4461,IID_POISONBOW,4366,IID_IRONLONGBOW,,,,,,,ARCHER,I,2_2,B
\zmap\bmap0203\dispos_h.bin,2b,4711,2,4451,IID_STEELBLADE,,,,,,,,,,,BLADEDUX,A,2_2,S
\zmap\bmap0203\dispos_h.bin,2b,4724,2,4533,IID_STEELAXE,,,,,,,,,,,GLORYDUX,A,2_2,L
\zmap\bmap0203\dispos_h.bin,2b,4750,2,4517,IID_STEELSPEAR,4574,IID_STEELLANCE,4634,IID_POISONLANCE,,,,,,,HALBERDIER,I,2_2,L
\zmap\bmap0203\dispos_h.bin,2b,4782,1,4491,IID_RELIVE,4442,IID_LIVE,,,,,,,,,PRIEST,H,2_2,H
\zmap\bmap0203\dispos_h.bin,2b,4811,2,4351,IID_IRONDAGGER,,,,,,,,,,,ROGUE,I,2_2,K
\zmap\bmap0203\dispos_h.bin,2b,4833,1,4426,IID_KILLERLANCE,4475,IID_POISONLANCE,4337,IID_HANDSPEAR,4589,IID_STEELSPEAR,,,,,SOLDIER,I,2_2,L
\zmap\bmap0203\dispos_h.bin,2b,4845,1,4546,IID_STEELBLADE,,,,,,,,,,,SWORDARMOR,A,2_2,S
\zmap\bmap0203\dispos_h.bin,2b,4878,1,4300,IID_ELTHUNDER,,,,,,,,,,,THUNDERMAGE,M,2_2,T
\zmap\bmap0203\dispos_h.bin,2b,4894,2,4248,IID_BOWGUN,,,,,,,,,,,WARRIOR,I,2_2,G
\zmap\bmap0204\dispos_h.bin,2b,9489,1,9324,IID_STEELBOW,,,,,,,,,,,ARCHER,I,2_3,B
\zmap\bmap0204\dispos_h.bin,2b,9500,2,9193,IID_STEELBOW,,,,,,,,,,,ARROWKNIGHT,C,2_3,B
\zmap\bmap0204\dispos_h.bin,2b,9534,1,9163,IID_IRONPOLEAXE,14289,IID_STEELAXE,,,,,,,,,AXARMOR,A,2_3,A
\zmap\bmap0204\dispos_h.bin,2b,9546,1,9294,IID_STEELAXE,14310,IID_HANDAXE,,,,,,,,,AXEKNIGHT,C,2_3,A
\zmap\bmap0204\dispos_h.bin,2b,9560,2,9209,IID_LIGHT,9239,IID_RELIVE,14330,IID_REBLOW,,,,,,,BISHOP,H,2_3,H
\zmap\bmap0204\dispos_h.bin,2b,9571,1,14349,IID_STEELSWORD,,,,,,,,,,,BLADE,I,2_3,S
\zmap\bmap0204\dispos_h.bin,2b,9581,2,14370,IID_STEELSWORD,,,,,,,,,,,BLADEKNIGHT,C,2_3,S
\zmap\bmap0204\dispos_h.bin,2b,9614,1,14390,IID_STEELAXE,9082,IID_HANDAXE,,,,,,,,,FIGHTER,I,2_3,A
\zmap\bmap0204\dispos_h.bin,2b,9626,2,9071,IID_ELFIRE,,,,,,,,,,,FIRESAGE,M,2_3,F
\zmap\bmap0204\dispos_h.bin,2b,9639,2,9117,IID_HORSEKILLER,9403,IID_STEELSPEAR,14409,IID_STEELLANCE,14430,IID_HANDSPEAR,,,,,GLORYKNIGHT,C,2_3,L
\zmap\bmap0204\dispos_h.bin,2b,9655,2,9250,IID_SHORTAXE,14450,IID_STEELAXE,14469,IID_HANDAXE,,,,,,,GREATKNIGHT,C,2_3,A
\zmap\bmap0204\dispos_h.bin,2b,9671,2,9263,IID_SHORTSPEAR,,,,,,,,,,,HALBERDIER,I,2_3,L
\zmap\bmap0204\dispos_h.bin,2b,9686,1,9094,IID_HANDSPEAR,14490,IID_STEELLANCE,,,,,,,,,LANCEARMOR,A,2_3,L
\zmap\bmap0204\dispos_h.bin,2b,9701,1,9337,IID_STEELLANCE,9352,IID_STEELLANCE/D,,,,,,,,,LANCEKNIGHT,C,2_3,L
\zmap\bmap0204\dispos_h.bin,2b,9717,1,9228,IID_REBLOW,9219,IID_LIVE,,,,,,,,,PRIEST,H,2_3,H
\zmap\bmap0204\dispos_h.bin,2b,9728,2,9369,IID_STEELLONGBOW,,,,,,,,,,,SNIPER,I,2_3,B
\zmap\bmap0204\dispos_h.bin,2b,9739,1,14509,IID_STEELLANCE,14530,IID_HANDSPEAR,,,,,,,,,SOLDIER,I,2_3,L
\zmap\bmap0204\dispos_h.bin,2b,9751,1,14550,IID_STEELSWORD,,,,,,,,,,,SWORDARMOR,A,2_3,S
\zmap\bmap0204\dispos_h.bin,2b,9766,1,9418,IID_STEELSWORD,9307,IID_STEELBLADE/D,9475,IID_WINDSWORD,9133,IID_IRONBLADE,,,,,SWORDKNIGHT,C,2_3,S
\zmap\bmap0204\dispos_h.bin,2b,9798,2,9036,IID_BOWGUN,9386,IID_STEELPOLEAXE,,,,,,,,,WARRIOR,I,2_3,G
\zmap\bmap0205\dispos_h.bin,2b,9989,1,9825,IID_STEELBOW,,,,,,,,,,,ARCHER,I,2_E,B
\zmap\bmap0205\dispos_h.bin,2b,10018,1,9870,IID_STEELPOLEAXE,9797,IID_STEELAXE,9620,IID_HANDAXE,,,,,,,AXARMOR,A,2_E,A
\zmap\bmap0205\dispos_h.bin,2b,10082,2,9676,IID_LIGHT,9713,IID_REBLOW,,,,,,,,,BISHOP,H,2_E,H
\zmap\bmap0205\dispos_h.bin,2b,10093,2,9464,IID_STEELBLADE,9975,IID_WINDSWORD,,,,,,,,,BLADEDUX,A,2_E,S
\zmap\bmap0205\dispos_h.bin,2b,10171,2,9887,IID_STEELSPEAR,9779,IID_SILVERSPEAR/D,9485,IID_SHORTSPEAR,,,,,,,GLORYDUX,A,2_E,L
\zmap\bmap0205\dispos_h.bin,2b,10200,2,9735,IID_SHORTAXE,9609,IID_HAMMER,9554,IID_STEELPOLEAXE,,,,,,,GREATDUX,A,2_E,A
\zmap\bmap0205\dispos_h.bin,2b,10229,2,9660,IID_STEELSPEAR,9632,IID_HANDSPEAR,9748,IID_SHORTSPEAR,9686,IID_STEELLANCE,9646,IID_IRONSPEAR,,,HALBERDIER,I,2_E,L
\zmap\bmap0205\dispos_h.bin,2b,10261,1,9763,IID_STEELLANCE,9917,IID_HANDSPEAR,,,,,,,,,LANCEARMOR,A,2_E,L
\zmap\bmap0205\dispos_h.bin,2b,10276,1,9724,IID_RELIVE,,,,,,,,,,,PRIEST,H,2_E,H
\zmap\bmap0205\dispos_h.bin,2b,10327,2,9510,IID_CROSSBOW,9853,IID_STEELLONGBOW,10000,IID_STEELBOW,10030,IID_BOWGUN,,,,,SNIPER,I,2_E,B
\zmap\bmap0205\dispos_h.bin,2b,10338,1,9838,IID_STEELLANCE,10049,IID_HANDSPEAR,,,,,,,,,SOLDIER,I,2_E,L
\zmap\bmap0205\dispos_h.bin,2b,10350,2,9810,IID_STEELBLADE,9902,IID_STEELSWORD,9697,IID_POISONSWORD,,,,,,,SWORDMASTER,I,2_E,S
\zmap\bmap0205\dispos_h.bin,2b,10366,2,9565,IID_ELTHUNDER,9929,IID_THUNDERSTORM,,,,,,,,,THUNDERSAGE,M,2_E,T
\zmap\bmap0205\dispos_h.bin,2b,10382,2,9474,IID_BOWGUN,10066,IID_STEELAXE,10139,IID_STEELPOLEAXE,,,,,,,WARRIOR,I,2_E,A
\zmap\bmap0301\dispos_h.bin,3a,9133,2,8889,IID_RELIVE,,,,,,,,,,,BISHOP,H,3_P,H
\zmap\bmap0301\dispos_h.bin,3a,9144,2,8716,IID_STEELSWORD,,,,,,,,,,,BLADEDUX,A,3_P,S
\zmap\bmap0301\dispos_h.bin,3a,9186,2,8693,IID_ELFIRE,,,,,,,,,,,FIRESAGE,M,3_P,F
\zmap\bmap0301\dispos_h.bin,3a,9199,2,8736,IID_STEELLANCE,8774,IID_HORSEKILLER,8867,IID_STEELSPEAR,8928,IID_SHORTSPEAR,,,,,GLORYDUX,A,3_P,L
\zmap\bmap0301\dispos_h.bin,3a,9228,2,9089,IID_STEELAXE,,,,,,,,,,,GREATDUX,A,3_P,A
\zmap\bmap0301\dispos_h.bin,3a,9259,2,9001,IID_STEELLANCE,8760,IID_HANDSPEAR,9033,IID_STEELSPEAR,,,,,,,HALBERDIER,I,3_P,L
\zmap\bmap0301\dispos_h.bin,3a,9283,2,8988,IID_STEELBOW,,,,,,,,,,,SNIPER,I,3_P,B
\zmap\bmap0301\dispos_h.bin,3a,9294,2,9048,IID_STEELSWORD,8973,IID_STEELBLADE,,,,,,,,,SWORDMASTER,I,3_P,S
\zmap\bmap0301\dispos_h.bin,3a,9338,2,8960,IID_STEELAXE,9016,IID_STEELPOLEAXE,8625,IID_BOWGUN,,,,,,,WARRIOR,I,3_P,A
\zmap\bmap0302\dispos_h.bin,3a,5381,2,5220,IID_STEELBLADE,5312,IID_STEELSWORD,,,,,,,,,BLADEDUX,A,3_1,S
\zmap\bmap0302\dispos_h.bin,3a,5415,2,5029,IID_ELFIRE,,,,,,,,,,,FIRESAGE,M,3_1,F
\zmap\bmap0302\dispos_h.bin,3a,5428,2,5102,IID_HORSEKILLER,,,,,,,,,,,GLORYDUX,A,3_1,L
\zmap\bmap0302\dispos_h.bin,3a,5457,2,5179,IID_SHORTAXE,5280,IID_STEELPOLEAXE,5207,IID_STEELAXE,5076,IID_HANDAXE,,,,,GREATDUX,A,3_1,A
\zmap\bmap0302\dispos_h.bin,3a,5488,2,5192,IID_SHORTSPEAR,5297,IID_STEELSPEAR,5248,IID_STEELLANCE,,,,,,,HALBERDIER,I,3_1,L
\zmap\bmap0302\dispos_h.bin,3a,5503,2,5263,IID_STEELLONGBOW,5016,IID_CROSSBOW,5235,IID_STEELBOW,,,,,,,SNIPER,I,3_1,B
\zmap\bmap0302\dispos_h.bin,3a,5514,2,5134,IID_KILLSWORD,4972,IID_STEELBLADE,,,,,,,,,SWORDMASTER,I,3_1,S
\zmap\bmap0302\dispos_h.bin,3a,5548,2,5040,IID_ELTHUNDER,,,,,,,,,,,THUNDERSAGE,M,3_1,T
\zmap\bmap0302\dispos_h.bin,3a,5564,2,5065,IID_HAMMER,5157,IID_STEELPOLEAXE,,,,,,,,,WARRIOR,I,3_1,A
\zmap\bmap0303\dispos_h.bin,3a,7440,2,7294,IID_STEELBOW,,,,,,,,,,,ARROWKNIGHT,C,3_2,B
\zmap\bmap0303\dispos_h.bin,3a,7456,2,7212,IID_RECOVER/D,7191,IID_LIVE,7226,IID_RELIVE,,,,,,,BISHOP,H,3_2,H
\zmap\bmap0303\dispos_h.bin,3a,7467,2,7384,IID_STORMSWORD,7052,IID_STEELSWORD,,,,,,,,,BLADEDUX,A,3_2,S
\zmap\bmap0303\dispos_h.bin,3a,7480,2,7279,IID_STEELBLADE,7065,IID_STEELSWORD,,,,,,,,,BLADEKNIGHT,C,3_2,S
\zmap\bmap0303\dispos_h.bin,3a,7517,2,7266,IID_STEELAXE,7200,IID_STEELLANCE,7354,IID_STEELSPEAR,7307,IID_STEELPOLEAXE,7430,IID_HANDAXE,,,DRAGONMASTER,F,3_2,A
\zmap\bmap0303\dispos_h.bin,3a,7534,2,7175,IID_HORSEKILLER,,,,,,,,,,,GLORYDUX,A,3_2,L
\zmap\bmap0303\dispos_h.bin,3a,7547,2,7496,IID_STEELSPEAR,7506,IID_STEELLANCE,,,,,,,,,GLORYKNIGHT,C,3_2,L
\zmap\bmap0303\dispos_h.bin,3a,7563,2,7149,IID_HANDAXE,7592,IID_STEELAXE,7138,IID_HAMMER,,,,,,,GREATDUX,A,3_2,A
\zmap\bmap0303\dispos_h.bin,3a,7576,2,7625,IID_STEELAXE,7337,IID_STEELPOLEAXE,7642,IID_HANDAXE,,,,,,,GREATKNIGHT,C,3_2,A
\zmap\bmap0303\dispos_h.bin,3a,7610,2,7322,IID_STEELLANCE,,,,,,,,,,,HALBERDIER,I,3_2,L
\zmap\bmap0303\dispos_h.bin,3a,7665,2,7369,IID_STEELSWORD,,,,,,,,,,,SWORDMASTER,I,3_2,S
\zmap\bmap0303\dispos_h.bin,3a,7717,2,7113,IID_ELTHUNDER,7399,IID_THUNDERSTORM,,,,,,,,,THUNDERSAGE,M,3_2,T
\zmap\bmap0303\dispos_h.bin,3a,7745,2,7127,IID_ELWIND,,,,,,,,,,,WINDSAGE,M,3_2,W
\zmap\bmap0304\dispos_h.bin,3a,6976,2,6503,IID_ELLIGHT,6607,IID_RELIVE,,,,,,,,,BISHOP,H,3_3,M
\zmap\bmap0304\dispos_h.bin,3a,6860,2,6781,IID_STEELSWORD,6674,IID_STEELBLADE,6796,IID_STORMSWORD,6645,IID_SILVERSWORD,,,,,BLADEDUX,A,3_3,S
\zmap\bmap0304\dispos_h.bin,3a,6921,2,6492,IID_ELFIRE,,,,,,,,,,,FIRESAGE,M,3_3,F
\zmap\bmap0304\dispos_h.bin,3a,6934,2,6717,IID_STEELLANCE,6570,IID_HANDSPEAR,6766,IID_STEELSPEAR,,,,,,,GLORYDUX,A,3_3,L
\zmap\bmap0304\dispos_h.bin,3a,6963,2,6558,IID_HANDAXE,6749,IID_STEELPOLEAXE,,,,,,,,,GREATDUX,A,3_3,A
\zmap\bmap0304\dispos_h.bin,3a,6994,2,6456,IID_STEELLANCE,6469,IID_HANDSPEAR,6630,IID_SHORTSPEAR,6598,IID_STEELSPEAR,,,,,HALBERDIER,I,3_3,L
\zmap\bmap0304\dispos_h.bin,3a,7048,2,6732,IID_STEELLONGBOW,6584,IID_KILLERBOW,6689,IID_STEELBOW,,,,,,,SNIPER,I,3_3,B
\zmap\bmap0304\dispos_h.bin,3a,7059,2,6661,IID_STEELSWORD,6702,IID_STEELBLADE,,,,,,,,,SWORDMASTER,I,3_3,S
\zmap\bmap0304\dispos_h.bin,3a,7075,2,6515,IID_ELTHUNDER,,,,,,,,,,,THUNDERSAGE,M,3_3,T
\zmap\bmap0304\dispos_h.bin,3a,7103,2,6529,IID_ELWIND,,,,,,,,,,,WINDSAGE,M,3_3,W
\zmap\bmap0305\dispos_h.bin,3a,6133,2,5688,IID_STEELPOLEAXE,,,,,,,,,,,DRAGONMASTER,F,3_4,L
\zmap\bmap0305\dispos_h.bin,3a,6150,2,5785,IID_ELFIRE,,,,,,,,,,,FIRESAGE,M,3_4,F
\zmap\bmap0305\dispos_h.bin,3a,6163,2,5881,IID_SHORTSPEAR,,,,,,,,,,,GLORYDUX,A,3_4,L
\zmap\bmap0305\dispos_h.bin,3a,6176,2,5954,IID_STEELPOLEAXE,,,,,,,,,,,GREATDUX,A,3_4,A
\zmap\bmap0305\dispos_h.bin,3a,6189,2,5922,IID_STEELLANCE,5717,IID_SHORTSPEAR,5971,IID_STEELSPEAR,,,,,,,HALBERDIER,I,3_4,L
\zmap\bmap0305\dispos_h.bin,3a,6204,2,5909,IID_STEELBOW,5937,IID_STEELLONGBOW,,,,,,,,,SNIPER,I,3_4,B
\zmap\bmap0305\dispos_h.bin,3a,6215,2,5986,IID_STEELSWORD,5768,IID_DRAGONKILLER,,,,,,,,,SWORDMASTER,I,3_4,S
\zmap\bmap0305\dispos_h.bin,3a,6249,2,5796,IID_ELTHUNDER,,,,,,,,,,,THUNDERSAGE,M,3_4,T
\zmap\bmap0305\dispos_h.bin,3a,6265,2,5896,IID_STEELAXE,5755,IID_CROSSBOW,,,,,,,,,WARRIOR,I,3_4,G
\zmap\bmap0306\dispos_h.bin,3a,8494,2,8100,IID_STEELBOW,,,,,,,,,,,ARROWKNIGHT,C,3_5,B
\zmap\bmap0306\dispos_h.bin,3a,8510,2,8304,IID_RELIVE,,,,,,,,,,,BISHOP,H,3_5,H
\zmap\bmap0306\dispos_h.bin,3a,8521,2,8374,IID_STEELBLADE,8113,IID_STEELSWORD,,,,,,,,,BLADEDUX,A,3_5,S
\zmap\bmap0306\dispos_h.bin,3a,8534,2,8151,IID_DRAGONKILLER,8272,IID_STEELBLADE,,,,,,,,,BLADEKNIGHT,C,3_5,S
