PID,Charblock Address,Next Char Address,class,classnum a,b,c,d,level,PID,,,,bases:hp,str,mag,skl,spd,lck,def,res
lyre,6092,6172,cat,21,25,28,29,17,0,3,37,201,16,0,4,3,2,16,1,3
janaff,5584,5668,hawk,23,27,29,31,29,0,3,36,210,28,7,1,7,6,30,7,2
ulki,484,568,hawk,23,27,29,31,28,0,3,48,61,30,5,2,5,7,25,6,4
sigrun,1920,2004,pegknight,7,8,7,7,18,0,3,43,227,4,5,8,5,5,28,6,9
tanith,3104,3188,pegknight,7,8,7,7,16,0,3,45,15,5,7,5,4,4,22,5,7
skrimir,2500,2588,lion,19,23,27,27,25,0,3,44,122,20,10,3,8,8,24,8,6
naesala,3972,4060,ravenking,24,28,30,32,27,0,3,39,7,20,6,3,5,6,20,4,5
sanaki,1836,1920,empress,14,15,26,26,1,0,3,43,170,0,1,13,0,253,32,7,10
tibarn,3440,3528,hawkking,23,27,29,31,31,0,3,45,124,20,8,2,5,6,29,5,4
pelleas,4824,4908,darksage,15,19,19,19,12,0,3,39,137,4,2,6,4,6,14,4,5
stefan,2940,3020,myrm,0,1,1,1,8,0,3,44,134,4,8,4,14,15,20,5,10
oliver,920,1000,priest,18,21,22,22,8,0,3,39,106,5,17,11,6,2,28,9,9
bastian,5668,5752,windmage,16,17,18,18,10,0,3,47,85,2,17,15,11,4,21,11,15
volke,4400,4488,assassin,3,4,15,15,13,0,3,47,120,8,8,3,11,10,19,10,5
caineghis,1084,1168,lionking,19,23,27,27,36,0,3,27,50,25,10,2,10,5,30,7,3
giffca,2252,2336,lion,19,23,27,27,36,0,3,35,125,27,12,4,16,13,28,12,8
kurthnaga,1496,1580,blackdrag,28,32,31,35,20,0,3,37,68,20,9,3,4,6,21,5,7
ena,224,320,reddrag,26,30,31,33,22,0,3,34,201,8,255,10,8,7,18,1,12
renning,6592,6676,swdknight,2,3,3,3,16,0,3,37,148,6,12,15,16,11,24,8,17
nasir,3708,3800,whitedrag,27,31,31,34,34,0,3,39,19,25,3,10,6,4,19,3,10
gareth,1664,1748,reddrag,26,30,31,33,31,0,3,36,31,31,7,0,5,3,20,9,4
lehran,748,836,chancellor,17,18,20,20,20,0,3,34,236,15,7,15,15,15,40,13,15
